logged_at,reason,name,title,url,query
2026-04-21T18:25:52.034498Z,non_org_title,List of non-governmental organizations in China - Wikipedia,List of non-governmental organizations in China - Wikipedia,,"""List of non-governmental organizations in China - Wikipedia"" ""China"" organization"
2026-04-21T18:25:52.591834Z,non_org_title,This article is a list of domestic and international non,This article is a list of domestic and international non,,"""This article is a list of domestic and international non"" ""China"" organization"
2026-04-21T18:25:53.157132Z,non_org_title,NGO Directory - China Development Brief,NGO Directory - China Development Brief,,"""NGO Directory - China Development Brief"" ""China"" organization"
2026-04-21T18:25:53.728854Z,missing_url,Recording Civic Action in China - Spotlight Exhibits,Recording Civic Action in China - Spotlight Exhibits,,"""Recording Civic Action in China - Spotlight Exhibits"" ""China"" organization"
2026-04-21T18:25:54.299770Z,non_org_title,Worldwide NGO Directory,Worldwide NGO Directory,,"""Worldwide NGO Directory"" ""China"" organization"
2026-04-21T18:25:54.880545Z,non_org_title,The Worldwide NGO Directory,The Worldwide NGO Directory,,"""The Worldwide NGO Directory"" ""China"" organization"
2026-04-21T18:25:55.441386Z,missing_url,Civil Society Organizations (CSOs) - United Nations Development Programme,Civil Society Organizations (CSOs) - United Nations Development Programme,,"""Civil Society Organizations (CSOs) - United Nations Development Programme"" ""China"" organization"
2026-04-21T18:25:56.005134Z,missing_url,China NGO Network for International Exchanges - cnie.org.cn,China NGO Network for International Exchanges - cnie.org.cn,,"""China NGO Network for International Exchanges - cnie.org.cn"" ""China"" organization"
2026-04-21T18:25:56.563082Z,missing_url,Together to Implement the Global Development Initiative China,Together to Implement the Global Development Initiative China,,"""Together to Implement the Global Development Initiative China"" ""China"" organization"
2026-04-21T18:25:57.123280Z,missing_url,NGO Project - ChinaFile,NGO Project - ChinaFile,,"""NGO Project - ChinaFile"" ""China"" organization"
2026-04-21T18:25:57.682079Z,missing_url,The China NGO Project is a community,The China NGO Project is a community,,"""The China NGO Project is a community"" ""China"" organization"
2026-04-21T18:25:58.235090Z,missing_url,"Civil Society in China: Growth, Challenges, and Government Relations","Civil Society in China: Growth, Challenges, and Government Relations",,"""Civil Society in China: Growth, Challenges, and Government Relations"" ""China"" organization"
